,start_station_id,start_station_name,lat,lon,bike_counts
138,31122,16th & Irving St NW,38.928882824488106,-77.03624582490363,20
139,31123,14th & Girard St NW,38.925290552559346,-77.03236671317423,17
140,31124,14th & Irving St NW,38.928590890528596,-77.03223224983725,43
141,31125,15th & W St NW,38.919018059264445,-77.03445296442503,49
142,31126,11th & Girard St NW,38.92562909938518,-77.02710754156311,27
143,31127,22nd & H St NW,38.89893989633334,-77.04884237259591,19
144,31128,23rd & M St NW,38.90530687178725,-77.05026348469289,40
145,31129,15th St & Pennsylvania Ave NW,38.89645535584736,-77.0333754233661,34
146,31130,7th & S St NW,38.91417986537989,-77.02171871760727,26
147,31131,14th & Otis Pl NW,38.93437736711079,-77.03269199899157,24
148,31132,13th & U St NW,38.916908831413,-77.02963264272162,33
149,31133,20th & Columbia Rd NW,38.91805565138743,-77.04546700866736,22
150,31134,8th & V St NW,38.91773001584375,-77.02268783200837,26
151,31135,16th & Harvard St NW,38.92610848944503,-77.03665725720222,25
152,31136,11th & Clifton St NW,38.92228891138432,-77.02709099729772,15
153,31137,Park Pl & Rock Creek Church Rd NW,38.937155359252806,-77.01911326371415,10
154,31138,4th & College St NW,38.92122218209258,-77.01814022922669,4
155,31200,Massachusetts Ave & Dupont Circle NW,38.910106623130105,-77.04439105178251,60
156,31201,15th & P St NW,38.909808420610304,-77.0344249362532,73
157,31202,14th & R St NW,38.91303818255869,-77.03198459641625,55
158,31203,14th & Rhode Island Ave NW,38.908596781101814,-77.03230606426465,50
159,31203,14th St & Rhode Island Ave NW,38.90859419890868,-77.03231299508386,70
160,31204,20th & E St NW,38.89629411885922,-77.04499152747937,17
161,31205,21st & I St NW,38.90071356934686,-77.04643682339798,33
162,31206,19th & E Street NW,38.89519505379024,-77.04361359560279,5
